Date,Description,Withdrawal,Deposit,Balance
01-10-2023,Opening Balance,,,15500000
02-10-2023,NEFT-AlphaCorp Pvt Ltd,,2500000,18000000
05-10-2023,RTGS-BetaLogistics,1200000,,16800000
10-10-2023,GST Payment Q2,4500000,,12300000
12-10-2023,NEFT-Gamma Materials,2400000,,9900000
14-10-2023,HDFC Working Capital Disbursal,,45000000,54900000
15-10-2023,Cash Withdrawal-Self,12000000,,42900000
18-10-2023,RTGS-AlphaCorp Pvt Ltd,,8000000,50900000
20-10-2023,Salary Disbursal Oct,6500000,,44400000
25-10-2023,RTGS-BetaLogistics,8000000,,36400000
28-10-2023,NEFT-Client XYZ Payment,,5500000,41900000
31-10-2023,Closing Balance,,,41900000
